filename,text,total
67b521143c,उपप्रधान तथा गृहमन्त्री विजयकुमार गच्छदारद्वारा जारी नागरिकतासम्बन्धी परिपत्र कार्यान्वयन नगर्न सर्वोच्चद्वारा अन्तरिम आदेश जारी।,129
24efa9f33c,तृतीय श्रेणीबाट शिक्षा लिने स्थानीय र अन्तर्राष्ट्रिय विद्यार्थीहरूको अनुपात अोइसिडीका देशहरूमध्ये सबभन्दा धेरै अस्ट्रेलियाको छ।,128
f0ad56c4f7,मध्यम पुरुषवाचक सर्वनाम जुन सर्वनामको प्रयोग बोल्नेवाला श्रोताका लागि गरिन्छ त्यसलाई मध्यम पुरुषवाचक सर्वनाम भन्दछन्।,117
b36a1404bb,अमेरिकी सेनाका एसिया प्यासिफिक क्षेत्रका कमान्डर इनचिफले नेपालसँगको सैन्य सम्बन्धलाई हेर्ने जिम्मेवारी पूरा गर्छन्।,115
60c61ae000,गेदले फ्रान्समा मार्क्सवादी विचारधाराको प्रचारप्रसार तथा समाजवादी आन्दोलन्को विकासको लागि प्रशस्त कार्य गरेका थिए।,114
d729d1bb45,बनारस हिन्दु विश्वविद्यालय कला सङ्ग्रहालयमा लामो समयसम्म काम गर्नुभएका उहाँ वासपेन्टिङमा सिद्धहस्त हुनुहुन्थ्यो।,112
addc30246f,नरेन्द्र दाइ विश्वेश्वरप्रसाद कोइरालाद्वारा लेखिएको र साझा प्रकाशनले बजारमा ल्याएको एक नेपाली भाषाको उपन्यास हो।,112
dc3aadb9ea,ठुलोधादिङ नेपालको मध्यमाञ्चल विकासक्षेत्र बाग्मती अञ्चलको सिन्धुपाल्चोक जिल्लामा अवस्थित एक गाउँ विकास समिति हो।,112
144eec9507,पर्रोहा नेपालको पश्चिमाञ्चल विकास क्षेत्रको लुम्बिनी अञ्चल रूपन्देही जिल्लामा अवस्थित एउटा गाउँ विकास समिति हो।,111
64200fa64b,खेतीपातीमा रमाएर बसेका किरातहरूको ककेसियाबाट युरोप मध्यपूर्व हुँदै भारतीय उपमहादिप आइपुगेका आर्यहरूसँग भेट भयो।,111
01f1fa026d,पर्रोहा नेपालको पश्चिमाञ्चल विकास क्षेत्रको लुम्बिनी अञ्चल रूपन्देही जिल्लामा अवस्थित एउटा गाउँ विकास समिति हो।,111
e1db54d01a,उपत्यकाका विभिन्न सांस्कृतिक पर्वहरूमा नेवारहरूको समूह आफ्नो सांस्कृतिक पहिरनमा ककुवय् बजाउँदै हिँडेको देखिन्छ।,111
f40550a1be,उनका पिता सिकन्दर स्टर्लिंङ क्याल्डर कुशल मूर्तिकारका रूपमा चिनिन्छन् जसले धेरै सार्वजनिक प्रतिष्ठानहरू बनाए ।,110
6bf1bf5341,भीरको खोँचमा गाडिएको अवस्थामा मानव अधिकारकर्मी र सुरक्षाकर्मीले खाल्डो खनेर एकएक अस्थिपञ्जर सङ्कलन गरेका थिए।,109
ee7952b780,भीरको खोँचमा गाडिएको अवस्थामा मानव अधिकारकर्मी र सुरक्षाकर्मीले खाल्डो खनेर एकएक अस्थिपञ्जर सङ्कलन गरेका थिए।,109
104f32b330,पृथ्वीको सम्भावित क्षेत्र अनिवार्य रूपले यसको स्थलाकृतिका विशेषताहरूद्वारा अलग गरिएको पृथ्वीको रेखा चित्र हो।,109
19957656bd,नेपाल एकिकरण अभियान जहाँ पुग्थ्यो त्यहिँका नेपालीहरू त्यसभन्दा अगाडिको विजय अभियानका लागि सहभागी हुने गर्थे।,108
231e977c0d,खिच्रो पकाएर गरीबगुरुबालाई दान गर्नाले यस नक्षत्रमा जन्म लिने मानवको कल्याण हुने कुरा ज्योतिषीहरू बताउँदछन्।,108
db2d62a49a,इतिहासमा पहिलो जिक्र आगराको महाभारतका समयदेखि मानिन्छ जब यसलाई अग्रबाण वा अग्रवनका नामले सम्बोधित गरिन्थ्यो।,108
1b6745d4ba,कार्कीबाडा नेपालको मध्यपश्चिमाञ्चल विकास क्षेत्रको कर्णाली अञ्चल मुगु जिल्लामा अवस्थित गाउँ विकास समिति हो।,107
6b99163233,थकनी नेपालको मध्यमाञ्चल विकास क्षेत्र बागमती अञ्चलको सिन्धुपाल्चोक जिल्लामा अवस्थित एक गाउँ विकास समिति हो।,107
02d25b5ddd,डाँडाफाया नेपालको मध्यपश्चिमाञ्चल विकासक्षेत्र कर्णाली अञ्चलको हुम्ला जिल्लामा अवस्थित गाउँ विकास समिति हो।,107
971df46317,कार्कीबाडा नेपालको मध्यपश्चिमाञ्चल विकास क्षेत्रको कर्णाली अञ्चल मुगु जिल्लामा अवस्थित गाउँ विकास समिति हो।,107
7dcb7d6852,जमुनी नेपालको मध्यपश्चिमाञ्चल विकास क्षेत्र भेरी अञ्चलको बर्दिया जिल्लामा अवस्थित एउटा गाउँ विकास समिति हो।,107
5f868d7891,थकनी नेपालको मध्यमाञ्चल विकास क्षेत्र बागमती अञ्चलको सिन्धुपाल्चोक जिल्लामा अवस्थित एक गाउँ विकास समिति हो।,107
9ccb93fa7d,जमुनी नेपालको मध्यपश्चिमाञ्चल विकास क्षेत्र भेरी अञ्चलको बर्दिया जिल्लामा अवस्थित एउटा गाउँ विकास समिति हो।,107
b06af5704f,देउसा नेपालको पूर्वाञ्चल विकास क्षेत्र सगरमाथा अञ्चलको सोलुखुम्बु जिल्लामा अवस्थित एक गाउँ विकास समिति हो।,106
56cb73698a,त्यसैले सिसुलुले अफ्रिका नेसनल कङ्ग्रेसमा दबिएर बस्नु भन्दा बराबर व्यवहार हुने पार्टीमा प्रवेश गरेको बताए।,106
056491ea94,कलाशास्त्रमा प्रमाणपत्र तहसम्मको अध्ययन गर्नुभएकी खनाल बेपत्ता परिवार कोचिला राज्यको संयोजक पनि हुनुहुन्छ।,106
817e887f44,कलाशास्त्रमा प्रमाणपत्र तहसम्मको अध्ययन गर्नुभएकी खनाल बेपत्ता परिवार कोचिला राज्यको संयोजक पनि हुनुहुन्छ।,106
631c014612,प्युठान जिल्ला एक परिचय प्युठान जिल्ला नेपालको मध्यपश्चिमाञ्चल विकास क्षेत्रमा अवस्थित एक पहाडी जिल्ला हो।,106
028f9594fd,गोला नेपालको मध्यपश्चिमाञ्चल विकास क्षेत्र भेरी अञ्चलको बर्दिया जिल्लामा अवस्थित एउटा गाउँ विकास समिति हो।,106
3982884319,मल जा खुवाउनाले सानासाना नानीहरूलाई झाडापखालाजस्ता विभिन्न खाले महामारी रोगहरू लाग्दैन भन्ने जनविश्वास छ।,105
bb1fc2ac82,यसको उपाय राति सुत्ने बेलामा सिरानीमुनि पाँचवटा मुला राखेर बिहानै भगवान् शिवको मन्दिरमा अर्पण गर्नुपर्दछ।,105
acfbe80475,मन्दिरको जिर्णोद्धार यज्ञशालाको निर्माण बगैँचाको व्यवस्था पूजारी र बगैँचा सुधारेको बन्दोबस्त गरीदिनु भयो।,105
5adaf30427,त्यस्तै यस नक्षत्रका जातकहरूले नागकेशरीको लहरोलाई आफ्नो घर वरिपरि रोप्दा शुभ्यफाप्य हुने विश्वास गरिन्छ।,104
d3a170a05a,पुरानकोट नेपालको पश्चिमाञ्चल विकास क्षेत्र गण्डकी अञ्चलको लमजुङ जिल्लामा अवस्थित एक गाउँ विकास समिति हो।,104
76bb2304f3,धमोली नेपालको पश्चिमाञ्चल विकास क्षेत्रको लुम्बिनी अञ्चल रूपन्देही जिल्लामा अवस्थित गाउँ विकास समिति हो।,104
6f3a0a045e,यदि बियो हुत्याउने क्षेत्रभन्दा बाहिर खसेमा डन्डी समूहले सुनौलो मौका अर्थात् एकपटक बढी हुत्याउन पाउनेछ।,103
9fa7e3aaa9,नेपालको मध्यपश्चिमाञ्चल विकास क्षेत्रको कर्णाली अञ्चल डोल्पा जिल्लामा अवस्थित एउटा गाउँ विकास समिति हो।,103
a7f8002db0,घनपोखरा नेपालको पश्चिमाञ्चल विकास क्षेत्र गण्डकी अञ्चलको लमजुङ जिल्लामा अवस्थित एक गाउँ विकास समिति हो।,103
509ca90b98,आधुनिक शिक्षाका प्रचारप्रसारपछि आधुनिक वैज्ञानिक क्षेत्रहरूमा पनि केरलीहरूले विशेष योग्यता प्राप्त गरे।,103
0efd9df01d,दिपकजी तपाईँले लेख्न खोज्नुभएको शीर्षकको लेख नेपाली विकिपीडियामा छैन भने नयाँ लेख सुरू गर्न सक्नुहुन्छ।,103
a2bbe4db09,केशवटार नेपालको पश्चिमाञ्चल विकास क्षेत्र गण्डकी अञ्चलको तनहुँ जिल्लामा अवस्थित एक गाउँ विकास समिति हो।,103
2ac5fee754,मैले तपाईँलाई यो टेम्प्लेटको नेपालीमा अनुवान गर्न अनुरोध गरेको थिएँ तपाईँले अलि बुझ्नुभएन जस्तो लाग्यो।,103
f739b92355,घटराज भट्टराईबाट सम्पन्न भएका सृजनात्मक र सङ्गठनात्मक कार्यहरू अत्यन्तै उपयोगी परिमार्जित र स्तरीय थिए।,103
1862ad66a9,पूर्णिमापछि आउने एकादशीलाई कृष्ण पक्षको एकादशी र अमावस्यापछि आउने एकादशीलाई शुक्ल पक्षको एकादशी भनिन्छ।,103
fd3e41585c,उनी थोत्रा पुराना विचारका घरहरू भत्काएर नयाँ विचार नयाँ चेतनाका सुन्दर घरहरूको निर्माण गर्न चाहन्थिन्।,102
bf5c8cc905,यस वर्षको ओस्कार अवार्डमा सहनायिका विधामा मनोनित हुँदा बालकलाकार हाइली स्टेनफेल्ड मस्त निद्रामा थिइन्।,102
e96192ee15,नेपालको पश्चिमाञ्चल विकास क्षेत्र धवलागिरी अञ्चलको म्याग्दी जिल्लामा अवस्थित एउटा गाउँ विकास समिति हो।,102
73bb2b036a,उनी थोत्रा पुराना विचारका घरहरू भत्काएर नयाँ विचार नयाँ चेतनाका सुन्दर घरहरूको निर्माण गर्न चाहन्थिन्।,102
3b794a93e0,त्यसपछि माल्यवान र पुष्पवती पहिलेभन्दा पनि सुन्दर भए तथा स्वर्गलोकमा उनीहरूको स्थान पुनः प्राप्त भयो।,101
48193fcb9c,नेपालको सुदूरपश्चिमाञ्चल विकास क्षेत्रको महाकाली अञ्चल कञ्चनपुर जिल्लामा अवस्थित गाउँ विकास समिति हो।,101
af8c135e6b,नेपालको सुदूरपश्चिमाञ्चल विकास क्षेत्रको महाकाली अञ्चल कञ्चनपुर जिल्लामा अवस्थित गाउँ विकास समिति हो।,101
bfc9c6fcd9,कीटनाशकका रूपमा उपयोग गरिने यसका पातकाण्ड र जरामा कीटनाशक आन्तरिक विष र प्रतिकारक पदार्थहरू पाइन्छन्।,101
e5ff781bdd,पूर्णिमापछि आउने एकादशीलाई कृष्णपक्षको एकादशी र अमावस्यापछि आउने एकादशीलाई शुक्लपक्षको एकादशी भनिन्छ।,101
234aa952d6,पूर्णिमापछि आउने एकादशीलाई कृष्णपक्षको एकादशी र अमावस्यापछि आउने एकादशीलाई शुक्लपक्षको एकादशी भनिन्छ।,101
012528e40a,चापाकोट नेपालको पश्चिमाञ्चल विकास क्षेत्रको गण्डकी अञ्चल कास्की जिल्लामा अवस्थित गाउँ विकास समिति हो।,101
801d4778b6,कालीका नेपालको पश्चिमाञ्चल विकास क्षेत्रको गण्डकी अञ्चल कास्की जिल्लामा अवस्थित गाउँ विकास समिति हो।,100
