filename,text,total
ef6b693c0e,चिकित्सकहरूका अनुसार नेपालमा,28
5a247bb3d6,ज्ञानको माध्यमबाट प्रष्फुटित,28
58deecdcdf,उत्तरमा ठाकुरजीदेखि दक्षिणमा,28
b8c4565975,पुराना किल्लालाई पाण्डवहरूको,28
2dda877df0,राजधानीको सरस्वती क्याम्पसमा,28
2de23e1464,उन्नाइसौँ शताब्दीको अन्तिमको,28
73fb295604,खुम्चेको स्वादिलो दाना हुन्छ,28
1960b99ac8,निर्धारित प्रक्रियाका अनुसार,28
74a1df92f6,कविताहरू साहित्यिक पत्रिकामा,28
15689f0163,अभिप्रेरित हुन्छन् र रक्तबलि,28
755e3f5fcf,ठाकुरप्रसाद गुरागाईँ बर्माका,28
7febfd1e6a,उनीहरूका शारीरिक आवश्यकताहरू,28
b07e91e392,अस्ट्रेलियाली ग्रामीण सङ्गीत,28
4c9b42511d,उहाँको सम्पादकत्वमा प्रकाशित,28
b3df4256c0,पु्रडेन्सियल फाइनान्स कम्पनी,28
5086e1b1df,महादेवको मन्दिर स्थापनापूर्व,28
73e03d8e86,क्वीन्स युनिभर्सिटी किङ्स्टन,28
8125284a26,शम्भुराम श्रेष्ठ सूर्यबहादुर,28
b3f11e8b07,अस्ट्रेलियामा सीमान्त मुठभेड,28
0ca5965112,अपकृत्यविधिको अवधारणा अनुरूप,28
7c3b34d8de,त्रिवेणीघाट क्षेत्र गोरखानाथ,28
65fac43ff0,स्वास्थ्यकर्मी सङ्घको नामबाट,28
0dfd0fd0c8,प्रमाणहरू इतिहासमा भेटिन्छन्,28
827b51a0c5,पूर्वी अस्ट्रेलियाको अधिकांश,28
4ca2073400,अन्तर्राष्ट्रिय मजदुर सङ्गठन,28
3b5f0ee403,कुल मतदाताहरूको बहुसङ्ख्याको,28
a00f221905,एउटा प्रसिद्ध अभिनेत्री हुन्,28
b08e040b0e,काङ्ग्रेसका कार्यवाहक सभापति,28
e33587d52b,कुनै सार्वजनिक स्थलहरुको नाम,28
4809db49a6,आन्दोलनमा क्रियाशील रहनुभएका,28
3a08f05d78,इतिहासकार श्रीकृष्ण आचार्यले,28
dd9b01077e,कङ्ग्रेसको भ्रातृसङ्गठन थियो,28
3021bd09a0,गणनापछि वैज्ञानिकहरूले यसलाई,28
f18b77bd84,प्रतियोगीहरूलाई दुई श्रेणीमा,28
b8aa105b06,लेखिएका निबन्धहरूलाई तार्किक,28
f19f9927cb,अन्तरिक्षीय अभियान्त्रिकी वा,28
2ed3555ec4,तर कम्युनिस्टहरूले समानान्तर,28
a8c56d7ac2,श्रद्धालु भक्तजन पशुपतिनाथको,28
dd9e12b177,वर्तमान किराँतहरूको मातृभाषा,28
73fb47e2b7,कन्सास स्टेट विश्वविद्यालयमा,28
5a2bcba318,पर्यटकहरुका स्वागसम्मको लागि,28
1948ab5c2a,अगाडिबाटै भुरेर डाँडापोखरीमा,28
